time/fps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
511,40,1244,-5.039384910000001,19.91,20622,0.05,0.0005,5030,1.5265321731567383,,
511,40,1248,-4.54701883,19.91,20702,0.05,0.0005,5050,1.6314853429794312,,
511,40,1252,-4.46652042,19.73,20764,0.05,0.0005,5065,1.7725995779037476,,
511,40,1256,-5.138772319999999,19.82,20844,0.05,0.0005,5085,2.364609718322754,,
511,40,1260,-4.90926637,19.82,20924,0.05,0.0005,5105,3.0385780334472656,,
511,41,1264,-4.72125952,19.75,20997,0.05,0.0005,5124,3.5086302757263184,,
510,41,1268,-4.70145303,19.75,21077,0.05,0.0005,5144,2.49349045753479,,
510,41,1272,-4.1595154,19.75,21157,0.05,0.0005,5164,2.829402446746826,,
510,41,1276,-4.35593091,19.75,21237,0.05,0.0005,5184,2.077939033508301,,
510,41,1280,-4.02256317,19.75,21317,0.05,0.0005,5204,1.9536397457122803,,
510,41,1284,-3.8814650199999994,19.75,21397,0.05,0.0005,5224,3.4019875526428223,,
510,42,1288,-2.9546323599999997,19.73,21475,0.05,0.0005,5243,2.8327202796936035,,
510,42,1292,-3.46908848,19.73,21555,0.05,0.0005,5263,2.4152982234954834,,
510,42,1296,-2.77959678,19.67,21629,0.05,0.0005,5282,3.4312901496887207,,
510,42,1300,-2.5592120700000005,19.67,21709,0.05,0.0005,5302,2.0038328170776367,,
510,42,1304,-3.0894383800000007,19.67,21789,0.05,0.0005,5322,2.661712169647217,,
510,42,1308,-2.78804244,19.67,21869,0.05,0.0005,5342,2.303586006164551,,
510,43,1312,-2.2937597200000006,19.67,21949,0.05,0.0005,5362,1.8380132913589478,,
509,43,1316,-1.97313732,19.67,22029,0.05,0.0005,5382,3.796492099761963,,
509,43,1320,-2.2743483300000005,19.67,22109,0.05,0.0005,5402,2.7556281089782715,,
509,43,1324,-1.6417596500000002,19.67,22189,0.05,0.0005,5422,2.188473701477051,,
509,43,1328,-1.7589922599999996,19.67,22269,0.05,0.0005,5442,2.451695680618286,,
509,43,1332,-1.7836107100000005,19.67,22349,0.05,0.0005,5462,2.6372480392456055,,
509,43,1336,-1.5517250599999999,19.49,22411,0.05,0.0005,5477,2.9005966186523438,,
509,44,1340,-1.45626013,19.49,22491,0.05,0.0005,5497,2.839778423309326,,
509,44,1344,-1.68618401,19.49,22571,0.05,0.0005,5517,2.715601921081543,,
509,44,1348,-1.5706043200000004,19.49,22651,0.05,0.0005,5537,2.503617525100708,,
509,44,1352,-1.89881261,19.67,22731,0.05,0.0005,5557,1.9836053848266602,,
509,44,1356,-1.3707597499999997,19.67,22811,0.05,0.0005,5577,3.162141799926758,,
509,44,1360,-1.5639163499999997,19.67,22891,0.05,0.0005,5597,3.0259532928466797,,
509,45,1364,-1.55168213,19.74,22971,0.05,0.0005,5617,2.581597328186035,,
509,45,1368,-1.4402448900000004,19.74,23051,0.05,0.0005,5637,2.8142142295837402,,
508,45,1372,-1.3701582300000004,19.74,23131,0.05,0.0005,5657,2.257722854614258,,
508,45,1376,-0.5354137600000004,19.74,23211,0.05,0.0005,5677,2.5299954414367676,,
508,45,1380,-0.27256786000000033,19.74,23291,0.05,0.0005,5697,1.9375803470611572,,
508,45,1384,-0.5475542899999998,19.65,23362,0.05,0.0005,5715,3.47947359085083,,
508,46,1388,-0.97262851,19.67,23442,0.05,0.0005,5735,2.859215259552002,,
508,46,1392,0.009989060000000041,19.67,23522,0.05,0.0005,5755,1.9638246297836304,,
508,46,1396,0.04949987000000002,19.65,23594,0.05,0.0005,5773,2.1028544902801514,,
